1	def:auto:3.14.1	definition	3.14.1	am830b1d1fa77aa1bd247f65e7289ef222	in text { ( zweistelliges Prädikat ) }	Begriff der Menge (Zermelo-Fraenkel-Axiome)
1	def:auto:3.14.1	definition	3.14.1	am7c856a87e148ff82d5bcfa472c19b006	Menge	Begriff der Menge (Zermelo-Fraenkel-Axiome)
ID	Menge	definition	def:auto:3.14.1
1	thm:auto:3.15.1	theorem	3.15.1	am979f573565d5f7fa55be99b79d8b120a	V1 in V2 , V3 notin V2 vdash V1 neq V3
1	thm:auto:3.15.2	theorem	3.15.2	am331519973f50bb684ec42b5d4e59fbad	V1 land V2 land V3 vdash V1
1	ax:auto:3.16.1.1	axiom	3.16.1.1	amc1c91a7797e9a61ff2776975c347c39c	forall V1 ( V1 in V2 leftrightarrow V1 in V3 ) vdash V2 = V3	Extensionalität
1	thm:auto:3.16.1.1	theorem	3.16.1.1	am8dbb094900f3d60c2f30e81e5a8e9615	forall V1 ( V1 in V2 leftrightarrow V1 in V3 ) eqvdash V2 = V3	Extensionalität
1	thm:auto:3.16.1.2	theorem	3.16.1.2	am1f6f2c29fa0241c0a1352edc51ea9d6e	V1 = V2 , V2 in V3 vdash V1 in V3	Ersetzung in der Elementbeziehung
1	thm:auto:3.16.2.1	theorem	3.16.2.1	am8d66324c4bc8b298858db2639a152a71	V1 neq V2 eqvdash exists V3 ( V3 not in V1 land V3 in V2 ) lor exists V4 ( V4 in V1 land V4 not in V2 )
1	thm:auto:3.16.2.2	theorem	3.16.2.2	am7d791ff6b42351369037aa4d95940a6b	V1 in V2 , V1 not in V3 vdash V2 neq V3
1	def:auto:3.17.1.1	definition	3.17.1.1	amc8e82493d15391baabb53d15b469c6bb	V1 subseteq V2 coloneq forall V3 ( V3 in V1 to V3 in V2 )	Teilmenge
1	def:auto:3.17.1.2	definition	3.17.1.2	am687ecce770d48563d062d8eec42f81bd	V1 subset V2 coloneq V1 subseteq V2 land V1 neq V2	Echte Teilmenge
1	thm:auto:3.17.2.1	theorem	3.17.2.1	am649ecab949eb5514a7fe56b7930c136d	V1 subset V2 vdash V1 subseteq V2	Echte Teilmenge ist Teilmenge
